protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F28,BFO,2,2729.4092926178228,27889,500,23.9755307000014
equal_iterations,F28,BFO,3,3169.108192337136,28506,500,20.055546000003233
equal_iterations,F28,BFO,4,3160.7015131520548,27924,500,19.668064199999208
equal_iterations,F28,BFO,5,3162.484128378209,27688,500,19.58247979999578
equal_iterations,F28,BFO,6,3129.665583748924,27905,500,28.80458219999855
equal_iterations,F28,BFO,7,3170.8966865362686,28016,500,21.413256600004388
equal_iterations,F28,BFO,8,3153.3292309026815,26768,500,18.858777100002044
equal_iterations,F28,BFO,9,3150.631005421324,27521,500,19.15771890000906
equal_iterations,F28,TSA,0,3151.499714975531,45206,500,38.66594589999295
equal_iterations,F28,TSA,1,3104.3663676979204,45222,500,38.75081150000915
equal_iterations,F28,TSA,2,3134.8012152047236,45001,500,41.53825840000354
equal_iterations,F28,TSA,3,2969.261954634811,44620,500,53.23583029999281
equal_iterations,F28,TSA,4,3044.31303604289,45229,500,42.755487500005984
equal_iterations,F28,TSA,5,3007.004597446153,44663,500,48.69147219999286
equal_iterations,F28,TSA,6,3147.2399001090575,44972,500,53.82927109999582
equal_iterations,F28,TSA,7,3151.5372306946692,44899,500,53.19251609999628
equal_iterations,F28,TSA,8,3132.555077106983,45272,500,54.274837299992214
equal_iterations,F28,TSA,9,2791.711915812796,45098,500,53.70610419999866
equal_iterations,F28,SOS,0,2964.411692980033,60030,500,50.46575190000294
equal_iterations,F28,SOS,1,2800.179769033678,60030,500,58.821171299990965
equal_iterations,F28,SOS,2,2806.141717472806,60030,500,42.699665200008894
equal_iterations,F28,SOS,3,2863.0875400997184,60030,500,42.46346559999802
equal_iterations,F28,SOS,4,3153.2547459268003,60030,500,44.57690030000231
equal_iterations,F28,SOS,5,3144.633263555762,60030,500,42.547114100001636
equal_iterations,F28,SOS,6,3156.35023040319,60030,500,43.87412629999744
equal_iterations,F28,SOS,7,2840.6389085482992,60030,500,52.88643999998749
equal_iterations,F28,SOS,8,2860.028353175117,60030,500,53.547260099992855
equal_iterations,F28,SOS,9,2818.1621442148935,60030,500,55.05549780000001
equal_iterations,F28,ES,0,2864.2887663852207,105030,500,72.65220290000434
equal_iterations,F28,ES,1,2919.92356177068,105030,500,78.13169280000147
equal_iterations,F28,ES,2,3101.091504589993,105030,500,71.38852990001033
equal_iterations,F28,ES,3,3191.1857945302595,105030,500,72.32846440000867
equal_iterations,F28,ES,4,2956.7355356066587,105030,500,74.34170210000593
equal_iterations,F28,ES,5,3170.9320579636,105030,500,72.36246879999817
equal_iterations,F28,ES,6,3124.645331505661,105030,500,79.10231560000102
equal_iterations,F28,ES,7,3147.794901597306,105030,500,74.44696480000857
equal_iterations,F28,ES,8,3134.668396136907,105030,500,73.40119119999872
equal_iterations,F28,ES,9,3151.84382833287,105030,500,76.00617920000514
equal_iterations,F28,FA,0,11588.72939104935,217532,500,116.5915740999917
equal_iterations,F28,FA,1,10561.608796775388,217516,500,122.44580829999177
equal_iterations,F28,FA,2,13636.088747809867,217530,500,108.27151360000425
equal_iterations,F28,FA,3,19491.74719365832,217538,500,108.99684579999303
equal_iterations,F28,FA,4,14508.73446812281,217539,500,104.41392130000168
equal_iterations,F28,FA,5,17546.797534475598,217539,500,105.21482250001281
equal_iterations,F28,FA,6,21782.032098966407,217540,500,101.942441399995
equal_iterations,F28,FA,7,10883.269966644124,217535,500,98.36687689999235
equal_iterations,F28,FA,8,13578.873956164629,217516,500,99.08113479999884
equal_iterations,F28,FA,9,15040.541993493402,217531,500,96.62807659999817
equal_iterations,F29,HS,0,193677357239.37277,530,500,0.8040099000063492
equal_iterations,F29,HS,1,6418528689.603888,530,500,0.6351731000031577
equal_iterations,F29,HS,2,67820551294.57033,530,500,0.8334149000002071
equal_iterations,F29,HS,3,14018951702.47935,530,500,0.636352600005921
equal_iterations,F29,HS,4,44561754113.8085,530,500,0.789275599992834
equal_iterations,F29,HS,5,14144998407.056082,530,500,0.828934199991636
equal_iterations,F29,HS,6,46773702684.22812,530,500,0.8683608999999706
equal_iterations,F29,HS,7,9378049722.480932,530,500,0.8008264999953099
equal_iterations,F29,HS,8,92086952853.75491,530,500,0.6415093999967212
equal_iterations,F29,HS,9,79658081341.29886,530,500,0.8274613999965368
